hello;happy;Привет.
daga_kotowaru;annoyed;Я отказываюсь.
devilish_pervert;angry;Никогда не думала, что ты чертов извращенец. Похоже я тебя недооценила.
nice;winking;Круто.
pervert_confirmed;pissed;PERVERT CONFIRMED.
sounds_tough;sided_worried;Звучит серьезно.
hopeless;disappointed;Этот парень безнадежен, надо срочно с этим что-то делать.
christina;annoyed;Кристина?
gah;indifferent;Гах.
no_tina;angry;Прекрати добавлять -тина!
why_christina;pissed;Меня беспокоит это. Почему я Кристина?
can_i_help;happy;Эм, могу ли я помочь тебе с этим?
what_do_you want;happy;Что ты хочешь?
what_is_it;happy;Что такое?
ok;happy;Ок.
still_not_happy;blush;Я все еще этому не рада...
dont_tell;blush;Пожалуйста, никому об этом не рассказывай...
dont_call;angry;Не. Называй. Меня. Так!
are_you_sure;sided_worried;Ты уверен?
why_say_that;sided_worried;А? Почему ты это говоришь?
tm_nonsense;disappointed;Это полная чушь.
tm_no_evidence;normal;Нет доказательств того, что машина времени существует.
tm_dont_know;normal;Но мы не знаем наверняка что это невозможно
tm_you_say;annoyed;Машина времени, говоришь?
tm_not_possible;annoyed;Посмотрим… Я пришла к выводу, что это невозможно.
pervert_confirmed;angry;PERVERT CONFIRMED.
pervert_idiot;angry;Извращенец! Ты идиот!? Хочешь умереть?!
hopeless;disappointed;Этот парень безнадежен. Надо срочно с этим что-то делать.
